1,Personnalité,51,,,2016-01-30 07:14:41,,
2,Private Bank,51,,,2016-01-30 07:14:41,,
3,Private Bank,16,,,2016-01-30 07:14:41,,
4,Prime,16,,,2016-01-30 07:14:41,,
5,Estilo,32,,,2016-01-30 07:14:41,,
6,Private,32,,,2016-01-30 07:14:41,,
7,Private Banking,69,,,2016-01-30 07:14:41,,
10,VAN GOGH,69,,,2016-01-30 07:14:41,,
