id,company,amount,ucs,potency,link
45,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DO ALTO PARAÍBA (CEDRAP),6,6,95,gd_distribuidora_detalhe.asp?distribuidora=3989
46,COOPERATIVA DE ELETRIFICAÇÃO DE BRAÇO DO NORTE (CERBRANORTE),73,87,850,gd_distribuidora_detalhe.asp?distribuidora=5476
47,COOPERATIVA DE ELETRIFICAÇÃO DE IBIÚNA E REGIÃO (CETRIL),51,56,309,gd_distribuidora_detalhe.asp?distribuidora=3987
48,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI MIRIM (CEMIRIM),133,226,3.58,gd_distribuidora_detalhe.asp?distribuidora=6050
49,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP (CERRP),23,23,171,gd_distribuidora_detalhe.asp?distribuidora=3993
50,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL CENTRO SUL DE SERGIPE LTDA (CERCOS),4,4,93,gd_distribuidora_detalhe.asp?distribuidora=3985
51,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE (CERNHE),16,16,216,gd_distribuidora_detalhe.asp?distribuidora=5185
52,COOPERATIVA DE ELETRIFICAÇÃO E DISTRIBUIÇÃO DA REGIÃO DE ITARIRI (CEDRI),12,12,75,gd_distribuidora_detalhe.asp?distribuidora=3974
53,Cooperativa de Eletrificação Lauro Muller (COOPERMILA),3,5,167,gd_distribuidora_detalhe.asp?distribuidora=3981
54,COOPERATIVA DE ELETRIFICAÇÃO RURAL CACHOEIRAS ITABORAÍ LTDA (CERCI),50,52,228,gd_distribuidora_detalhe.asp?distribuidora=3886
55,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO (CERPRO),3,3,56,gd_distribuidora_detalhe.asp?distribuidora=3992
56,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ARARUAMA LTDA (CERAL ARARUAMA),12,20,68,gd_distribuidora_detalhe.asp?distribuidora=7753
57,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ-PARANAPANEMA-AVARÉ LTDA (CERIPA),14,15,177,gd_distribuidora_detalhe.asp?distribuidora=3986
58,Cooperativa de Eletrificação Rural de Mogi das Cruzes (CERMC),5,6,106,gd_distribuidora_detalhe.asp?distribuidora=6297
59,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE RESENDE LTDA (CERES),3,3,9,gd_distribuidora_detalhe.asp?distribuidora=3884
60,Cooperativa de Eletrificação Rural Itu-Mairinque (CERIM),30,30,245,gd_distribuidora_detalhe.asp?distribuidora=3994
61,COOPERATIVA DE ENERGIZAÇÃO E DE DESENVOLVIMENTO DO VALE DO MOGI (CERVAM),7,8,210,gd_distribuidora_detalhe.asp?distribuidora=3983
62,COOPERATIVA DE PRESTAÇÃO DE SERVIÇOS PÚBLICOS DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA SENADOR ESTEVES JÚNIOR (CEREJ),12,14,152,gd_distribuidora_detalhe.asp?distribuidora=3959
63,COOPERATIVA DISTRIBUIDORA DE ENERGIA FRONTEIRA NOROESTE (COOPERLUZ),34,36,286,gd_distribuidora_detalhe.asp?distribuidora=3186
64,COOPERATIVA DISTRIBUIDORA DE ENERGIA VALE DO ARAÇÁ (CERAÇÁ),81,123,1.4869999999999999,gd_distribuidora_detalhe.asp?distribuidora=5475
65,COOPERATIVA ENERGÉTICA COCAL (COOPERCOCAL),22,26,149,gd_distribuidora_detalhe.asp?distribuidora=3979
66,COOPERATIVA FUMACENSE DE ELETRICIDADE (CERMOFUL),14,16,137,gd_distribuidora_detalhe.asp?distribuidora=3972
67,COOPERATIVA PIONEIRA DE ELETRIFICAÇÃO - COOPERA (COOPERA),14,17,125,gd_distribuidora_detalhe.asp?distribuidora=3978
68,COOPERATIVA REGIONAL DE ELETRIFICAÇÃO RURAL DO ALTO URUGUAI (CRERAL),22,32,587,gd_distribuidora_detalhe.asp?distribuidora=2762
69,COOPERATIVA REGIONAL DE ENERGIA E DESENVOLVIMENTO IJUÍ LTDA (CERILUZ),19,22,433,gd_distribuidora_detalhe.asp?distribuidora=2756
70,COOPERATIVA REGIONAL DE ENERGIA TAQUARI JACUÍ (CERTAJA),95,109,1.073,gd_distribuidora_detalhe.asp?distribuidora=3091
71,COOPERATIVA REGIONAL SUL DE ELETRIFICAÇÃO RURAL (COORSEL),27,30,507,gd_distribuidora_detalhe.asp?distribuidora=5597
72,COOPERZEM COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA ELÉTRICA (COOPERZEM),35,46,418,gd_distribuidora_detalhe.asp?distribuidora=3982
73,COPEL DISTRIBUIÇÃO S.A. (COPEL-DIS),11,11,208.806,gd_distribuidora_detalhe.asp?distribuidora=406
74,COPREL COOPERATIVA DE ENERGIA (COPREL),177,216,3.44,gd_distribuidora_detalhe.asp?distribuidora=2351
75,CRELUZ - COOPERATIVA DE DISTRIBUIÇÃO DE ENERGIA (CRELUZ-D),44,58,817,gd_distribuidora_detalhe.asp?distribuidora=1115
76,DEPARTAMENTO MUNICIPAL DE ENERGIA DE IJUÍ (DEMEI),216,230,1.7880000000000003,gd_distribuidora_detalhe.asp?distribuidora=447
77,DME DISTRIBUIÇÃO S.A. - DMED (DMED),103,125,781,gd_distribuidora_detalhe.asp?distribuidora=304
78,EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (EDP SP),1,1,13.604,gd_distribuidora_detalhe.asp?distribuidora=360
79,ELEKTRO REDES S.A. (ELEKTRO),7,8,56.315999999999995,gd_distribuidora_detalhe.asp?distribuidora=342
80,ELETROPAULO METROPOLITANA ELETRICIDADE DE SÃO PAULO S.A. (ELETROPAULO),1,4,13.775,gd_distribuidora_detalhe.asp?distribuidora=359
81,EMPRESA FORÇA E LUZ DE URUSSANGA LTDA (EFLUL),46,58,603,gd_distribuidora_detalhe.asp?distribuidora=423
82,EMPRESA FORÇA E LUZ JOÃO CESA LTDA (EFLJC),6,6,18,gd_distribuidora_detalhe.asp?distribuidora=425
83,EMPRESA LUZ E FORÇA SANTA MARIA S/A (ELFSM),568,664,3.0749999999999997,gd_distribuidora_detalhe.asp?distribuidora=322
84,ENERGISA ACRE - DISTRIBUIDORA DE ENERGIA S.A (ELETROACRE),145,150,2.085,gd_distribuidora_detalhe.asp?distribuidora=111
85,ENERGISA BORBOREMA - DISTRIBUIDORA DE ENERGIA S.A (EBO),278,382,5.261,gd_distribuidora_detalhe.asp?distribuidora=5187
86,ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A. (EMT),7,8,158.32100000000003,gd_distribuidora_detalhe.asp?distribuidora=511
87,ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A. (EMS),4,6,53.336999999999996,gd_distribuidora_detalhe.asp?distribuidora=501
88,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S.A. (EMG),1,2,18.4,gd_distribuidora_detalhe.asp?distribuidora=5160
89,ENERGISA NOVA FRIBURGO - DISTRIBUIDORA DE ENERGIA S.A. (ENF),129,148,713,gd_distribuidora_detalhe.asp?distribuidora=5188
90,ENERGISA PARAÍBA - DISTRIBUIDORA DE ENERGIA S.A (EPB),2,3,29.327,gd_distribuidora_detalhe.asp?distribuidora=5175
91,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A (CERON),263,325,11.905000000000001,gd_distribuidora_detalhe.asp?distribuidora=101
92,ENERGISA SERGIPE - DISTRIBUIDORA DE ENERGIA S.A (ESE),932,1,10.405000000000001,gd_distribuidora_detalhe.asp?distribuidora=5162
93,ENERGISA SUL-SUDESTE - DISTRIBUIDORA DE ENERGIA S.A. (ESS),2,3,28.983999999999998,gd_distribuidora_detalhe.asp?distribuidora=3860
94,ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S.A. (ETO),1,1,18.338,gd_distribuidora_detalhe.asp?distribuidora=161
95,ESPÍRITO SANTO DISTRIBUIÇÃO DE ENERGIA S.A. (EDP ES),2,3,31.865,gd_distribuidora_detalhe.asp?distribuidora=321
96,FORÇA E LUZ CORONEL VIVIDA LTDA (FORCEL),35,42,336,gd_distribuidora_detalhe.asp?distribuidora=404
97,HIDROPAN DISTRIBUIÇÃO DE ENERGIA S.A. (HIDROPAN),156,178,1.6600000000000001,gd_distribuidora_detalhe.asp?distribuidora=445
98,IGUAÇU DISTRIBUIDORA DE ENERGIA ELÉTRICA LTDA. (IENERGIA),231,340,4.984,gd_distribuidora_detalhe.asp?distribuidora=424
99,LIGHT SERVIÇOS DE ELETRICIDADE S A (LIGHT),3,3,42.975,gd_distribuidora_detalhe.asp?distribuidora=331
100,MUXFELDT MARIN E CIA LTDA (MUXENERGIA),52,67,364,gd_distribuidora_detalhe.asp?distribuidora=448
101,NOVA PALMA ENERGIA LTDA (UHENPAL),93,100,837,gd_distribuidora_detalhe.asp?distribuidora=446
102,RGE SUL DISTRIBUIDORA DE ENERGIA S.A. (RGE SUL),13,15,166.196,gd_distribuidora_detalhe.asp?distribuidora=442
103,RIO GRANDE ENERGIA SA (RGE),2,2,25.981999999999996,gd_distribuidora_detalhe.asp?distribuidora=443
