58,,,Nossa Caixa S.A.,151,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
59,,,Opportunity S.A.,45,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
60,,,Panamericano S.A.,623,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
61,,,Paulista S.A.,611,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
62,,,Pine S.A.,643,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
63,,,Prosper S.A.,638,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
64,,,Rabobank International Brasil S.A.,747,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
65,,,Rendimento S.A.,633,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
66,,,Rural Mais S.A.,72,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
67,,,Rural S.A.,453,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
68,,,Safra S.A.,422,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
69,,,Santander,33,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
70,,,Schahin S.A.,250,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
71,,,Simples S.A.,749,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
72,,,Société Générale Brasil S.A.,366,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
73,,,Sofisa S.A.,637,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
74,,,Sudameris Brasil S.A.,347,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
75,,,Sumitomo Mitsui Brasileiro S.A.,464,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
76,,,Triângulo S.A.,634,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
77,,,UBS Pactual S.A.,208,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
78,,,UBS S.A.,247,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
79,,,Único S.A.,116,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
80,,,Votorantim S.A.,655,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
81,,,VR S.A.,610,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
82,,,WestLB do Brasil S.A.,370,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
83,,,BANESTES S.A. Banco do Estado do Espírito Santo,21,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
84,,,Banif-Banco Internacional do Funchal (Brasil)S.A.,719,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
85,,,Bankpar Banco Multiplo S.A.,204,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
86,,,BRB – Banco de Brasília S.A.,70,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
87,,,CEF,104,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
88,,,Citibank N.A.,477,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
89,,,Deutsche Bank S.A. – Banco Alemão,487,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
90,,,Dresdner Bank Brasil S.A. – Banco Múltiplo,751,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
91,,,Dresdner Bank Lateinamerika Aktiengesellschaft,210,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
92,,,Hipercard Banco Múltiplo S.A.,62,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
93,,,HSBC,399,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
94,,,ING Bank N.V.,492,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
95,,,JPMorgan Chase Bank,488,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
96,,,Lemon Bank Banco Múltiplo S.A.,65,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
97,,,UNIBANCO – União de bancos Brasileiros S.A.,409,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
98,,,Unicard Banco Múltiplo S.A.,230,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
99,,,CECRED,85,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
100,,,UNICRED,136,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
101,,,BB Banco Popular do Brasil S.A.,73,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
102,,,BPN Brasil Banco Mútiplo S.A.,69,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
103,,,Caixa Econômica Federal S.A.,104,0,2018-03-28 15:57:58,2018-02-01 18:18:33,
104,108,108,ENG-1167,152,0,2018-10-15 14:07:17,2018-10-15 17:07:17,
105,108,108,ENG-2042,152,0,2018-10-15 14:10:58,2018-10-15 17:10:58,
